value
#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,06,26,06,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.1,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.1,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.2,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,30,999,99.0,99.0,99.00,99.00,99.00,999,1018.2,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,36,89,6.1,7.5,99.00,99.00,99.00,999,1018.2,25.0,27.1,999.0,99.0,99.00
2008,06,26,06,42,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,48,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,54,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,07,00,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,07,06,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,07,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,07,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.0,999.0,99.0,99.00
2008,06,26,07,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,07,30,999,99.0,99.0,99.00,99.00,99.00,999,1018.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,07,36,72,5.9,7.4,99.00,99.00,99.00,999,1018.5,25.0,27.0,999.0,99.0,99.00
2008,06,26,07,42,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,27.0,999.0,99.0,99.00
2008,06,26,07,48,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,07,54,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,00,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,06,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.7,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,30,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,36,73,6.4,8.0,99.00,99.00,99.00,999,1018.9,24.5,27.0,999.0,99.0,99.00
2008,06,26,08,42,999,99.0,99.0,99.00,99.00,99.00,999,1018.9,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,48,999,99.0,99.0,99.00,99.00,99.00,999,1018.8,999.0,27.0,999.0,99.0,99.00
2008,06,26,08,54,999,99.0,99.0,99.00,99.00,99.00,999,1018.7,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,00,999,99.0,99.0,99.00,99.00,99.00,999,1018.7,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,06,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.7,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.6,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,30,999,99.0,99.0,99.00,99.00,99.00,999,1018.5,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,36,78,5.6,8.3,99.00,99.00,99.00,999,1018.4,24.8,27.0,999.0,99.0,99.00
2008,06,26,09,42,999,99.0,99.0,99.00,99.00,99.00,999,1018.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,48,999,99.0,99.0,99.00,99.00,99.00,999,1018.3,999.0,27.0,999.0,99.0,99.00
2008,06,26,09,54,999,99.0,99.0,99.00,99.00,99.00,999,1018.2,999.0,27.0,999.0,99.0,99.00
2008,06,26,10,00,999,99.0,99.0,99.00,99.00,99.00,999,1018.2,999.0,27.0,999.0,99.0,99.00
